23400	100	2.281	1.531
23500	100	2.281	1.531
23600	100	2.281	1.531
23700	100	2.281	1.531
23800	100	2.281	1.531
23900	100	2.281	1.531
24000	100	2.281	1.531
24100	100	2.281	1.531
24200	100	2.281	1.531
24300	100	2.281	1.531
24400	100	2.281	1.531
24500	100	2.281	1.531
24600	100	2.281	1.531
24700	100	2.281	1.531
24800	100	2.281	1.531
24900	100	2.281	1.531
25000	100	2.281	1.531
25100	100	2.281	1.531
25200	100	2.281	1.531
25300	100	2.281	1.531
25400	100	2.281	1.531
25500	100	2.281	1.531
25600	100	2.281	1.531
25700	100	2.281	1.531
25800	100	2.281	1.531
25900	100	2.281	1.531
26000	100	2.281	1.531
26100	100	2.281	1.531
26200	100	2.281	1.531
26300	100	2.281	1.531
26400	100	2.281	1.531
26500	100	2.281	1.531
26600	100	2.281	1.531
26700	100	2.281	1.531
26800	100	2.281	1.531
26900	100	2.281	1.531
27000	100	2.281	1.531
27100	100	2.281	1.531
27200	100	2.281	1.531
27300	100	2.281	1.531
27400	100	2.281	1.531
27500	100	2.281	1.531
27600	100	2.281	1.531
27700	100	2.281	1.531
27800	100	2.281	1.531
27900	100	2.281	1.531
28000	100	2.281	1.531
28100	100	2.281	1.531
28200	100	2.281	1.531
28300	100	2.281	1.531
28400	100	2.281	1.531
28500	100	2.281	1.531
28600	100	2.281	1.531
28700	100	2.281	1.531
28800	100	2.281	1.531
28900	100	2.281	1.531
29000	100	2.281	1.531
29100	100	2.281	1.531
29200	100	2.281	1.531
29300	100	2.281	1.531
29400	100	2.281	1.531
29500	100	2.281	1.531
29600	100	2.281	1.531
29700	100	2.281	1.531
29800	100	2.281	1.531
29900	100	2.281	1.531
30000	100	2.281	1.531
